Month,WeekDay,DayNr,Guest_Arrival_Tripple_Room
9,Fri,1,22
9,Sat,1,22
9,Sun,1,18
9,Mon,1,18
9,Tue,1,21
9,Wed,1,19
9,Thu,1,19
9,Fri,2,19
9,Sat,2,18
9,Sun,2,16
9,Mon,2,18
9,Tue,2,19
9,Wed,2,17
9,Thu,2,18
9,Fri,3,18
9,Sat,3,18
9,Sun,3,16
9,Mon,3,15
9,Tue,3,14
9,Wed,3,14
9,Thu,3,20
9,Fri,4,18
9,Sat,4,19
9,Sun,4,22
9,Mon,4,22
9,Tue,4,25
9,Wed,4,27
9,Thu,4,29
9,Fri,5,29
9,Sat,5,28
10,Sun,1,10
10,Mon,1,29
10,Tue,1,10
10,Wed,1,18
10,Thu,1,19
10,Fri,1,22
10,Sat,1,27
10,Sun,2,27
10,Mon,2,25
10,Tue,2,29
10,Wed,2,25
10,Thu,2,25
10,Fri,2,24
10,Sat,2,19
10,Sun,3,17
10,Mon,3,23
10,Tue,3,22
10,Wed,3,24
10,Thu,3,23
10,Fri,3,23
10,Sat,3,20
10,Sun,4,17
10,Mon,4,20
10,Tue,4,20
10,Wed,4,19
10,Thu,4,15
10,Fri,4,12
10,Sat,4,17
10,Sun,5,14
10,Mon,5,14
7,Mon,4,17
7,Tue,4,20
7,Wed,4,20
7,Thu,4,19
7,Fri,4,15
7,Sat,5,12
7,Sun,5,17
7,Mon,5,14
6,Tue,4,17
6,Wed,4,20
6,Thu,4,20
6,Fri,4,19
6,Sat,4,15
6,Sun,5,12
6,Mon,5,17
